month;dist;m.erosion;sedimentation;n.erosion;soil.m.month;rep
JL-2017;B(0m);0,67;4,02;-3,35;4,69;a
JL-2017;B(0m);2,01;1,34;0,67;3,35;b
JL-2017;B(0m);0,67;5,36;-4,69;6,03;c
JL-2017;D(05m);1,34;0;1,34;1,34;a
JL-2017;D(05m);2,01;0;2,01;2,01;b
JL-2017;D(05m);1,34;0;1,34;1,34;c
JL-2017;D(1m);1,34;1,34;0;2,68;a
JL-2017;D(1m);0,67;5,36;-4,69;6,03;b
JL-2017;D(1m);0,67;4,02;-3,35;4,69;c
JL-2017;D(7m);0;2,68;-2,68;2,68;a
JL-2017;D(7m);0;3,35;-3,35;3,35;b
JL-2017;D(7m);0;4,02;-4,02;4,02;c
JL-2017;D(14m);3,68;0;3,68;3,68;a
JL-2017;D(14m);4,02;0;4,02;4,02;b
JL-2017;D(14m);1,34;0;1,34;1,34;c
JL-2017;D(21m);0;1,34;-1,34;1,34;a
JL-2017;D(21m);2,01;0;2,01;2,01;b
JL-2017;D(21m);2,68;0;2,68;2,68;c
JL-2017;D(28m);0;2,68;-2,68;2,68;a
JL-2017;D(28m);0;1,34;-1,34;1,34;b
JL-2017;D(28m);0;2,01;-2,01;2,01;c
JL-2017;ctrl.Rod;2,34;0;2,34;2,34;a
JL-2017;ctrl.Rod;3,35;0;3,35;3,35;b
JL-2017;ctrl.Rod;4,02;0,67;3,35;4,69;c
AG-2017;B(0m);2,68;3,35;-0,67;6,03;a
AG-2017;B(0m);2,68;2,68;0;5,36;b
AG-2017;B(0m);1,34;4,02;-2,68;5,36;c
AG-2017;D(05m);2,01;0,67;1,34;2,68;a
AG-2017;D(05m);2,68;0;2,68;2,68;b
AG-2017;D(05m);0;1,34;-1,34;1,34;c
AG-2017;D(1m);4,02;0;4,02;4,02;a
AG-2017;D(1m);0;3,35;-3,35;3,35;b
AG-2017;D(1m);2,68;0;2,68;2,68;c
AG-2017;D(7m);4,02;1,34;2,68;5,36;a
AG-2017;D(7m);2,68;4,02;-1,34;6,7;b
AG-2017;D(7m);4,02;1,34;2,68;5,36;c
AG-2017;D(14m);4,69;0,67;4,02;5,36;a
