month;soil.depth;dist;soil.moist;rep
JL-2017;P1-20;D0;2,95;a
JL-2017;P1-20;D0;1,975;b
JL-2017;P1-20;D0;1,85;c
JL-2017;P1-20;D1-0.5;2,635;a
JL-2017;P1-20;D1-0.5;2,31;b
JL-2017;P1-20;D1-0.5;1,76;c
JL-2017;P1-20;D2-1.5;2,483;a
JL-2017;P1-20;D2-1.5;2,756;b
JL-2017;P1-20;D2-1.5;4,059;c
JL-2017;P1-20;ctrl-S/B;1,34;a
JL-2017;P1-20;ctrl-S/B;1,232;b
JL-2017;P1-20;ctrl-S/B;1,25;c
JL-2017;P2-30;D0;1,764;a
JL-2017;P2-30;D0;1,096;b
JL-2017;P2-30;D0;1,34;c
JL-2017;P2-30;D1-0.5;1,76;a
JL-2017;P2-30;D1-0.5;1,504;b
JL-2017;P2-30;D1-0.5;1,059;c
JL-2017;P2-30;D2-1.5;3,47;a
JL-2017;P2-30;D2-1.5;2,363;b
JL-2017;P2-30;D2-1.5;2,779;c
JL-2017;P2-30;ctrl-S/B;1,71;a
JL-2017;P2-30;ctrl-S/B;1,84;b
JL-2017;P2-30;ctrl-S/B;1,77;c
JL-2017;P3-40;D0;3,831;a
JL-2017;P3-40;D0;4,545;b
JL-2017;P3-40;D0;3,001;c
JL-2017;P3-40;D1-0.5;5,419;a
JL-2017;P3-40;D1-0.5;3,097;b
JL-2017;P3-40;D1-0.5;4,115;c
JL-2017;P3-40;D2-1.5;2,827;a
JL-2017;P3-40;D2-1.5;3,67;b
JL-2017;P3-40;D2-1.5;5,512;c
JL-2017;P3-40;ctrl-S/B;4,35;a
JL-2017;P3-40;ctrl-S/B;4,65;b
JL-2017;P3-40;ctrl-S/B;4,23;c
JL-2017;P4-50;D0;3,156;a
JL-2017;P4-50;D0;3,36;b
JL-2017;P4-50;D0;4,594;c
JL-2017;P4-50;D1-0.5;2,944;a
JL-2017;P4-50;D1-0.5;1,487;b
JL-2017;P4-50;D1-0.5;3,22;c
JL-2017;P4-50;D2-1.5;4,36;a
JL-2017;P4-50;D2-1.5;6,612;b
JL-2017;P4-50;D2-1.5;5,214;c
JL-2017;P4-50;ctrl-S/B;4,35;a
JL-2017;P4-50;ctrl-S/B;3,78;b
JL-2017;P4-50;ctrl-S/B;5,571;c
AG-2017;P1-20;D0;4,353;a
AG-2017;P1-20;D0;3,766;b
AG-2017;P1-20;D0;4,232;c
AG-2017;P1-20;D1-0.5;3,778;a
AG-2017;P1-20;D1-0.5;3,371;b
AG-2017;P1-20;D1-0.5;4,094;c
AG-2017;P1-20;D2-1.5;4,462;a
AG-2017;P1-20;D2-1.5;3,543;b
AG-2017;P1-20;D2-1.5;4,239;c
AG-2017;P1-20;ctrl-S/B;3,67;a
AG-2017;P1-20;ctrl-S/B;4,67;b
AG-2017;P1-20;ctrl-S/B;2,97;c
AG-2017;P2-30;D0;5,379;a
AG-2017;P2-30;D0;7,568;b
AG-2017;P2-30;D0;5,063;c
AG-2017;P2-30;D1-0.5;6,291;a
AG-2017;P2-30;D1-0.5;6,897;b
AG-2017;P2-30;D1-0.5;4,834;c
AG-2017;P2-30;D2-1.5;5,928;a
AG-2017;P2-30;D2-1.5;7,03;b
AG-2017;P2-30;D2-1.5;5,691;c
AG-2017;P2-30;ctrl-S/B;3,64;a
AG-2017;P2-30;ctrl-S/B;3,89;b
AG-2017;P2-30;ctrl-S/B;4,64;c
AG-2017;P3-40;D0;5,326;a
AG-2017;P3-40;D0;5,936;b
AG-2017;P3-40;D0;4,64;c
AG-2017;P3-40;D1-0.5;4,698;a
AG-2017;P3-40;D1-0.5;5,475;b
AG-2017;P3-40;D1-0.5;4,757;c
AG-2017;P3-40;D2-1.5;5,105;a
AG-2017;P3-40;D2-1.5;5,037;b
AG-2017;P3-40;D2-1.5;6,525;c
AG-2017;P3-40;ctrl-S/B;5,06;a
AG-2017;P3-40;ctrl-S/B;5,676;b
AG-2017;P3-40;ctrl-S/B;5,34;c
AG-2017;P4-50;D0;5,485;a
AG-2017;P4-50;D0;6,761;b
AG-2017;P4-50;D0;6,394;c
AG-2017;P4-50;D1-0.5;5,936;a
AG-2017;P4-50;D1-0.5;5,409;b
AG-2017;P4-50;D1-0.5;5,886;c
AG-2017;P4-50;D2-1.5;5,44;a
AG-2017;P4-50;D2-1.5;6,393;b
AG-2017;P4-50;D2-1.5;5,67;c
AG-2017;P4-50;ctrl-S/B;5,45;a
AG-2017;P4-50;ctrl-S/B;6,57;b
AG-2017;P4-50;ctrl-S/B;4,503;c
S-2017;P1-20;D0;2,822;a
S-2017;P1-20;D0;3,21;b
S-2017;P1-20;D0;3,498;c
S-2017;P1-20;D1-0.5;3,02;a
S-2017;P1-20;D1-0.5;2,989;b
S-2017;P1-20;D1-0.5;4,588;c
S-2017;P1-20;D2-1.5;3,202;a
S-2017;P1-20;D2-1.5;4,868;b
S-2017;P1-20;D2-1.5;4,083;c
S-2017;P1-20;ctrl-S/B;3,28;a
S-2017;P1-20;ctrl-S/B;4,38;b
S-2017;P1-20;ctrl-S/B;4,573;c
S-2017;P2-30;D0;4,819;a
S-2017;P2-30;D0;4,401;b
S-2017;P2-30;D0;4,384;c
S-2017;P2-30;D1-0.5;4,773;a
